Name,Date,Location
1,1998.496672,Europe
2,1999.496672,Europe
3,1998.496672,Europe
4,1987.496672,NorthAmerica
5,1994.496672,NorthAmerica
6,1996.496672,NorthAmerica
7,1982.496672,Australia
8,2000.496672,Europe
9,1996.496672,Europe
10,1996.496672,Europe
11,1996.496672,Europe
12,2006.871672,Asia
13,2007.121672,Asia
14,2006.871672,Asia
15,2006.871672,Asia
16,2006.871672,Asia
17,2007.121672,Asia
18,2007.205005,Asia
19,2006.788339,Asia
20,2006.871672,Asia
21,2007.121672,Asia
22,2006.871672,Asia
23,2001.496672,Europe
24,2006.871672,Asia
25,2006.788339,Asia
26,2007.038339,Asia
27,2007.121672,Asia
28,2006.871672,Asia
29,2007.371672,Asia
30,2007.288339,Asia
31,2007.121672,Asia
32,2007.121672,Asia
33,1998.496672,Asia
34,1998.496672,Asia
35,1996.496672,Europe
36,1993.496672,Europe
37,1998.496672,SouthAmerica
38,1997.496672,SouthAmerica
39,1997.496672,SouthAmerica
40,1997.496672,SouthAmerica
41,1997.496672,SouthAmerica
42,2001.496672,Europe
43,1993.496672,SouthAmerica
44,1997.496672,SouthAmerica
45,1997.496672,SouthAmerica
46,2003.496672,Europe
47,1997.496672,Europe
48,1997.496672,Europe
49,1998.496672,SouthAmerica
50,1997.496672,SouthAmerica
51,1998.496672,SouthAmerica
52,1990.496672,Europe
53,1992.496672,Europe
54,1992.496672,Europe
55,1993.496672,Europe
56,1993.496672,Europe
57,1993.496672,Europe
58,1992.496672,Europe
